G,I,GI,II
89.7191,26.2662,0.0000,0.0000
89.7191,26.2662,0.0000,0.0000
89.7191,26.2661,0.0000,0.0000
89.7191,26.2661,0.0000,0.0000
89.7190,26.2661,0.0000,0.0000
89.7190,26.2661,0.0000,0.0000
89.7190,26.2661,0.0000,0.0000
89.7190,26.2661,0.0000,0.0000
89.7190,26.2660,0.0000,0.0000
89.7190,26.2660,0.0000,0.0000
89.7190,26.2660,0.0000,0.0000
89.7190,26.2660,0.0000,0.0000
89.7190,26.2660,0.0000,0.0000
89.7190,26.2659,0.0000,0.0000
89.7190,26.2659,0.0000,0.0000
89.7190,26.2659,0.0000,0.0000
89.7190,26.2659,0.0000,0.0000
89.7190,26.2659,0.0000,0.0000
89.7190,26.2659,0.0000,0.0000
89.7190,26.2658,0.0000,0.0000
89.7189,26.2658,0.0000,0.0000
89.7189,26.2658,0.0000,0.0000
89.7189,26.2658,0.0000,0.0000
89.7189,26.2658,0.0000,0.0000
89.7189,26.2658,0.0000,0.0000
89.7189,26.2658,0.0000,0.0000
89.7189,26.2657,0.0000,0.0000
89.7189,26.2657,0.0000,0.0000
89.7189,26.2657,0.0000,0.0000
89.7189,26.2657,0.0000,0.0000
89.7189,26.2657,0.0000,0.0000
89.7189,26.2657,0.0000,0.0000
89.7189,26.2656,0.0000,0.0000
89.7189,26.2656,0.0000,0.0000
89.7189,26.2656,0.0000,0.0000
89.7189,26.2656,0.0000,0.0000
89.7189,26.2656,0.0000,0.0000
89.7189,26.2656,0.0000,0.0000
89.7189,26.2656,0.0000,0.0000
89.7189,26.2656,0.0000,0.0000
89.7189,26.2655,0.0000,0.0000
89.7189,26.2655,0.0000,0.0000
89.7189,26.2655,0.0000,0.0000
89.7188,26.2655,0.0000,0.0000
89.7188,26.2655,0.0000,0.0000
89.7188,26.2655,0.0000,0.0000
89.7188,26.2655,0.0000,0.0000
89.7188,26.2655,0.0000,0.0000
89.7188,26.2654,0.0000,0.0000
89.7188,26.2654,0.0000,0.0000
89.7188,26.2654,0.0000,0.0000
89.7188,26.2654,0.0000,0.0000
89.7188,26.2654,0.0000,0.0000
89.7188,26.2654,0.0000,0.0000
89.7188,26.2654,0.0000,0.0000
89.7188,26.2654,0.0000,0.0000
89.7188,26.2654,0.0000,0.0000
89.7188,26.2654,0.0000,0.0000
89.7188,26.2654,0.0000,0.0000
89.7188,26.2653,0.0000,0.0000
89.7188,26.2653,0.0000,0.0000
89.7188,26.2653,0.0000,0.0000
89.7188,26.2653,0.0000,0.0000
89.7188,26.2653,0.0000,0.0000
89.7188,26.2653,0.0000,0.0000
89.7188,26.2653,0.0000,0.0000
89.7188,26.2653,0.0000,0.0000
89.7188,26.2653,0.0000,0.0000
89.7188,26.2653,0.0000,0.0000
89.7188,26.2653,0.0000,0.0000
89.7188,26.2653,0.0000,0.0000
89.7188,26.2653,0.0000,0.0000
89.7188,26.2653,0.0000,0.0000
89.7188,26.2652,0.0000,0.0000
89.7188,26.2652,0.0000,0.0000
89.7188,26.2652,0.0000,0.0000
89.7188,26.2652,0.0000,0.0000
89.7188,26.2652,0.0000,0.0000
89.7188,26.2652,0.0000,0.0000
89.7188,26.2652,0.0000,0.0000
89.7188,26.2652,0.0000,0.0000
89.7188,26.2652,0.0000,0.0000
89.7188,26.2652,0.0000,0.0000
89.7188,26.2652,0.0000,0.0000
89.7188,26.2652,0.0000,0.0000
89.7188,26.2652,0.0000,0.0000
89.7188,26.2652,0.0000,0.0000
89.7188,26.2652,0.0000,0.0000
89.7188,26.2652,0.0000,0.0000
89.7188,26.2652,0.0000,0.0000
89.7188,26.2652,0.0000,0.0000
89.7188,26.2652,0.0000,0.0000
89.7188,26.2652,0.0000,0.0000
89.7188,26.2653,0.0000,0.0000
89.7188,26.2653,0.0000,0.0000
89.7188,26.2653,0.0000,0.0000
89.7188,26.2653,0.0000,0.0000
89.7188,26.2653,0.0000,0.0000
89.7188,26.2653,0.0000,0.0000
89.7189,26.2653,0.0000,0.0000
89.7189,26.2653,0.0000,0.0000
89.7189,26.2653,0.0000,0.0000
89.7189,26.2653,0.0000,0.0000
89.7189,26.2653,0.0000,0.0000
89.7189,26.2653,0.0000,0.0000
89.7189,26.2653,0.0000,0.0000
89.7189,26.2653,0.0000,0.0000
89.7189,26.2653,0.0000,0.0000
89.7189,26.2653,0.0000,0.0000
89.7189,26.2653,0.0000,0.0000
89.7189,26.2653,0.0000,0.0000
89.7189,26.2653,0.0000,0.0000
89.7189,26.2653,0.0000,0.0000
89.7189,26.2653,0.0000,0.0000
89.7189,26.2653,0.0000,0.0000
