G,I,GI,II
130.0369,18.4752,0.0000,0.0000
130.0355,18.4727,0.0000,0.0000
130.0342,18.4702,0.0000,0.0000
130.0328,18.4678,0.0000,0.0000
130.0316,18.4653,0.0000,0.0000
130.0303,18.4630,0.0000,0.0000
130.0290,18.4606,0.0000,0.0000
130.0278,18.4583,0.0000,0.0000
130.0266,18.4560,0.0000,0.0000
130.0254,18.4538,0.0000,0.0000
130.0243,18.4515,0.0000,0.0000
130.0231,18.4493,0.0000,0.0000
130.0220,18.4472,0.0000,0.0000
130.0209,18.4451,0.0000,0.0000
130.0199,18.4430,0.0000,0.0000
130.0188,18.4409,0.0000,0.0000
130.0178,18.4388,0.0000,0.0000
130.0168,18.4368,0.0000,0.0000
130.0158,18.4349,0.0000,0.0000
130.0148,18.4329,0.0000,0.0000
130.0139,18.4310,0.0000,0.0000
130.0129,18.4291,0.0000,0.0000
130.0120,18.4272,0.0000,0.0000
130.0111,18.4254,0.0000,0.0000
130.0103,18.4235,0.0000,0.0000
130.0094,18.4218,0.0000,0.0000
130.0086,18.4200,0.0000,0.0000
130.0078,18.4183,0.0000,0.0000
130.0070,18.4165,0.0000,0.0000
130.0062,18.4149,0.0000,0.0000
130.0054,18.4132,0.0000,0.0000
130.0047,18.4116,0.0000,0.0000
130.0039,18.4100,0.0000,0.0000
130.0032,18.4084,0.0000,0.0000
130.0025,18.4068,0.0000,0.0000
130.0018,18.4053,0.0000,0.0000
130.0012,18.4038,0.0000,0.0000
130.0005,18.4023,0.0000,0.0000
129.9999,18.4008,0.0000,0.0000
129.9993,18.3994,0.0000,0.0000
129.9987,18.3979,0.0000,0.0000
129.9981,18.3965,0.0000,0.0000
129.9975,18.3952,0.0000,0.0000
129.9969,18.3938,0.0000,0.0000
